user_id,platform_name,device,interaction_type,interaction_datetime_date,interaction_datetime_time
de5b53fc-2fe4-48f9-a46c-0af2cd7123e1,LinkedIn,Mobile,share,25/12/2024,05:08:43
11310a58-4ee8-4a04-9637-f0745d5439cd,Twitter,Desktop,comment,26/12/2024,10:53:15
5b9cc20e-c4d3-42e1-b521-bf71fa3926e8,LinkedIn,Tablet,like,06/01/2025,17:27:18
e95185a9-2fb5-4476-8b96-389ece94f0ae,Twitter,Desktop,comment,11/03/2025,19:03:35
8654530d-8a69-4d16-8c1e-81170d307608,LinkedIn,Desktop,like,08/02/2025,03:58:02
2a0f4a95-ab81-4870-81e5-ab751993c973,Instagram,Tablet,comment,17/02/2025,17:06:32
848e8846-a2f1-41cd-a4c7-eef98fafe835,LinkedIn,Desktop,like,27/10/2024,14:26:06
14716a13-d714-4500-861e-9ac26169bad6,Twitter,Tablet,click,31/03/2025,15:42:46
3ef8422a-16e3-4ee2-834f-715d716c6eed,Facebook,Desktop,click,24/11/2024,19:52:16
11c04962-2d18-4f5d-8dfe-9b99e9502c9a,Instagram,Mobile,comment,28/11/2024,12:16:37
d8981208-0dae-4056-ac82-6c7060777541,Facebook,Desktop,like,24/12/2024,03:49:32
c440adc1-64d5-42f0-b647-19e0d4cd29ac,Instagram,Desktop,click,01/04/2025,01:07:47
7661271d-0652-40be-97d4-8d02fc914552,LinkedIn,Desktop,like,25/12/2024,22:29:11
a24febe2-2bd5-4900-b821-22626c3f3a8c,Twitter,Desktop,like,18/04/2025,06:53:25
10bbf6c6-8d8a-46fe-84a0-4bcd6bf65e48,Twitter,Tablet,share,28/02/2025,02:05:26
f941fdda-6c38-4fda-9f65-0e7909bbe2a8,Facebook,Tablet,click,22/01/2025,23:19:20
0fa2e9fa-1e1c-4174-8347-1dc4e5976852,Facebook,Mobile,share,17/04/2025,19:46:29
7cb71c6a-32b6-4f66-a936-eebcb7a10d31,Facebook,Tablet,comment,21/01/2025,22:28:39
9aa95c16-941e-41e9-9e7f-bef6cfb8c9c2,LinkedIn,Mobile,like,25/03/2025,09:21:58
